Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.3B23A30FB8,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/27/2015,4/27/2015,4/27/2015,13
384.3B23A3135D,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/1/2015,5/1/2015,5/1/2015,17
384.3B23A31B09,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,5/31/2015,5/31/2015,5/31/2015,16
384.3B23A31D12,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,6/11/2015,6/11/2015,6/11/2015,13
384.3B23A31D24,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/28/2015,4/28/2015,4/28/2015,12
384.3B23A31FA5,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/6/2015,5/6/2015,5/6/2015,15
384.3B23A320A7,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/3/2015,5/3/2015,5/3/2015,11
384.3B23A321BF,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,6/20/2015,6/20/2015,6/20/2015,14
384.3B23A323D1,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/28/2015,4/28/2015,4/28/2015,18
384.3B23A32821,Hat. Steelhead (unknown run),LGR,LGRCOL - LGR - Release into the Collection Channel upstream of the Dewatering Facility,5/10/2014,9/29/2015,9/29/2015,9/29/2015,11
384.3B23A3285D,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,4/27/2015,4/27/2015,4/27/2015,12
384.3B23A329A3,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,6/5/2015,6/5/2015,6/5/2015,11
384.3B23A32B0A,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,6/25/2015,6/25/2015,9/3/2015,139
384.3B23A32B0A,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,9/3/2015,6/25/2015,9/3/2015,139
384.3B23A33134,Wild Summer Steelhead,HAYDNC,"HAYDNC - Hayden Creek, Lemhi River Basin",4/17/2013,9/15/2015,9/15/2015,9/15/2015,11
384.3B23A3317A,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,7/9/2015,7/9/2015,7/26/2015,55
384.3B23A3317A,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,7/22/2015,7/9/2015,7/26/2015,55
384.3B23A3317A,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,7/26/2015,7/9/2015,7/26/2015,55
384.3B23A33237,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",4/27/2013,9/17/2015,9/17/2015,9/17/2015,11
384.3B23A33638,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/7/2015,5/7/2015,5/7/2015,13
384.3B23A336E5,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/19/2015,6/19/2015,6/19/2015,16
384.3B23A337FA,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/7/2015,5/7/2015,5/7/2015,23
384.3B23A3388C,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/7/2015,5/7/2015,5/7/2015,18
384.3B23A33A56,Hat. Steelhead (unknown run),LGR,LGRGWL - LGR - Release into Gatewell(s),5/2/2013,10/31/2015,10/31/2015,10/31/2015,11
